username,retweet_count,favorite_count,month,day,hour
DelfinoLucasOk,0,0,1,0,0
DelfinoLucasOk,0,0,1,0,1
DelfinoLucasOk,0,0,1,0,2
DelfinoLucasOk,0,0,1,0,3
DelfinoLucasOk,0,0,1,0,4
DelfinoLucasOk,0,0,1,0,5
DelfinoLucasOk,29,76,1,0,6
DelfinoLucasOk,0,0,1,0,7
DelfinoLucasOk,9,15,1,0,8
DelfinoLucasOk,0,0,1,0,9
DelfinoLucasOk,0,0,1,0,10
DelfinoLucasOk,11,48,1,0,11
DelfinoLucasOk,17,31,1,0,12
DelfinoLucasOk,11,33,1,0,13
DelfinoLucasOk,0,0,1,0,14
DelfinoLucasOk,0,0,1,0,15
DelfinoLucasOk,0,0,1,0,16
DelfinoLucasOk,0,2,1,0,17
DelfinoLucasOk,0,0,1,0,18
DelfinoLucasOk,0,0,1,0,19
DelfinoLucasOk,0,0,1,0,20
DelfinoLucasOk,0,0,1,0,21
DelfinoLucasOk,0,0,1,0,22
DelfinoLucasOk,0,0,1,0,23
DelfinoLucasOk,0,0,2,0,0
DelfinoLucasOk,0,0,2,0,1
DelfinoLucasOk,0,0,2,0,2
DelfinoLucasOk,0,0,2,0,3
DelfinoLucasOk,7,7,2,0,4
DelfinoLucasOk,0,0,2,0,5
DelfinoLucasOk,13,27,2,0,6
DelfinoLucasOk,0,0,2,0,7
DelfinoLucasOk,0,0,2,0,8
DelfinoLucasOk,0,0,2,0,9
DelfinoLucasOk,0,0,2,0,10
DelfinoLucasOk,7,10,2,0,11
DelfinoLucasOk,0,0,2,0,12
DelfinoLucasOk,67,87,2,0,13
DelfinoLucasOk,0,0,2,0,14
DelfinoLucasOk,0,0,2,0,15
DelfinoLucasOk,54,103,2,0,16
DelfinoLucasOk,11,26,2,0,17
DelfinoLucasOk,10,30,2,0,18
DelfinoLucasOk,12,26,2,0,19
DelfinoLucasOk,0,0,2,0,20
DelfinoLucasOk,0,0,2,0,21
DelfinoLucasOk,0,0,2,0,22
DelfinoLucasOk,0,0,2,0,23
DelfinoLucasOk,0,0,3,0,0
DelfinoLucasOk,0,0,3,0,1
DelfinoLucasOk,0,0,3,0,2
DelfinoLucasOk,0,0,3,0,3
DelfinoLucasOk,0,0,3,0,4
DelfinoLucasOk,0,0,3,0,5
DelfinoLucasOk,0,0,3,0,6
DelfinoLucasOk,0,0,3,0,7
DelfinoLucasOk,0,0,3,0,8
DelfinoLucasOk,11,15,3,0,9
DelfinoLucasOk,29,24,3,0,10
DelfinoLucasOk,22,30,3,0,11
DelfinoLucasOk,0,0,3,0,12
DelfinoLucasOk,9,14,3,0,13
DelfinoLucasOk,35,94,3,0,14
DelfinoLucasOk,24,74,3,0,15
DelfinoLucasOk,0,0,3,0,16
DelfinoLucasOk,22,65,3,0,17
DelfinoLucasOk,13,42,3,0,18
DelfinoLucasOk,0,0,3,0,19
DelfinoLucasOk,0,0,3,0,20
DelfinoLucasOk,15,25,3,0,21
DelfinoLucasOk,0,0,3,0,22
DelfinoLucasOk,0,0,3,0,23
DelfinoLucasOk,0,0,4,0,0
DelfinoLucasOk,0,0,4,0,1
DelfinoLucasOk,0,0,4,0,2
DelfinoLucasOk,0,0,4,0,3
DelfinoLucasOk,0,0,4,0,4
DelfinoLucasOk,0,0,4,0,5
DelfinoLucasOk,0,0,4,0,6
DelfinoLucasOk,21,53,4,0,7
DelfinoLucasOk,3,4,4,0,8
DelfinoLucasOk,5,12,4,0,9
DelfinoLucasOk,0,0,4,0,10
DelfinoLucasOk,0,0,4,0,11
DelfinoLucasOk,19,37,4,0,12
DelfinoLucasOk,7,15,4,0,13
DelfinoLucasOk,21,54,4,0,14
DelfinoLucasOk,6,19,4,0,15
DelfinoLucasOk,0,0,4,0,16
DelfinoLucasOk,5,10,4,0,17
DelfinoLucasOk,8,7,4,0,18
DelfinoLucasOk,2,2,4,0,19
DelfinoLucasOk,0,0,4,0,20
DelfinoLucasOk,0,0,4,0,21
DelfinoLucasOk,0,0,4,0,22
DelfinoLucasOk,0,0,4,0,23
DelfinoLucasOk,0,0,5,0,0
DelfinoLucasOk,0,0,5,0,1
DelfinoLucasOk,0,0,5,0,2
DelfinoLucasOk,0,0,5,0,3
DelfinoLucasOk,0,0,5,0,4
DelfinoLucasOk,6,15,5,0,5
DelfinoLucasOk,0,0,5,0,6
DelfinoLucasOk,25,51,5,0,7
DelfinoLucasOk,52,122,5,0,8
DelfinoLucasOk,33,65,5,0,9
DelfinoLucasOk,0,0,5,0,10
DelfinoLucasOk,12,35,5,0,11
DelfinoLucasOk,6,20,5,0,12
DelfinoLucasOk,24,61,5,0,13
DelfinoLucasOk,16,30,5,0,14
DelfinoLucasOk,23,35,5,0,15
DelfinoLucasOk,11,21,5,0,16
DelfinoLucasOk,0,0,5,0,17
DelfinoLucasOk,23,68,5,0,18
DelfinoLucasOk,50,166,5,0,19
DelfinoLucasOk,13,37,5,0,20
DelfinoLucasOk,3,13,5,0,21
DelfinoLucasOk,0,0,5,0,22
DelfinoLucasOk,0,0,5,0,23
DelfinoLucasOk,0,0,6,0,0
DelfinoLucasOk,0,0,6,0,1
DelfinoLucasOk,0,0,6,0,2
DelfinoLucasOk,0,0,6,0,3
DelfinoLucasOk,0,0,6,0,4
DelfinoLucasOk,0,0,6,0,5
DelfinoLucasOk,0,0,6,0,6
DelfinoLucasOk,0,0,6,0,7
DelfinoLucasOk,6,19,6,0,8
DelfinoLucasOk,5,16,6,0,9
DelfinoLucasOk,0,0,6,0,10
DelfinoLucasOk,0,0,6,0,11
DelfinoLucasOk,8,25,6,0,12
DelfinoLucasOk,7,13,6,0,13
DelfinoLucasOk,0,0,6,0,14
DelfinoLucasOk,599,644,6,0,15
DelfinoLucasOk,62,243,6,0,16
DelfinoLucasOk,0,0,6,0,17
DelfinoLucasOk,2,50,6,0,18
DelfinoLucasOk,4,27,6,0,19
DelfinoLucasOk,6,12,6,0,20
DelfinoLucasOk,7,29,6,0,21
DelfinoLucasOk,0,0,6,0,22
DelfinoLucasOk,0,0,6,0,23
DelfinoLucasOk,0,0,7,0,0
DelfinoLucasOk,0,0,7,0,1
DelfinoLucasOk,0,0,7,0,2
DelfinoLucasOk,0,0,7,0,3
DelfinoLucasOk,0,0,7,0,4
DelfinoLucasOk,0,0,7,0,5
DelfinoLucasOk,0,0,7,0,6
DelfinoLucasOk,11,40,7,0,7
DelfinoLucasOk,0,0,7,0,8
DelfinoLucasOk,17,39,7,0,9
DelfinoLucasOk,13,36,7,0,10
DelfinoLucasOk,0,0,7,0,11
DelfinoLucasOk,10,38,7,0,12
DelfinoLucasOk,0,0,7,0,13
DelfinoLucasOk,73,133,7,0,14
DelfinoLucasOk,0,0,7,0,15
DelfinoLucasOk,37,79,7,0,16
DelfinoLucasOk,76,151,7,0,17
DelfinoLucasOk,30,74,7,0,18
DelfinoLucasOk,46,66,7,0,19
DelfinoLucasOk,0,0,7,0,20
DelfinoLucasOk,14,35,7,0,21
DelfinoLucasOk,0,0,7,0,22
DelfinoLucasOk,0,0,7,0,23
DelfinoLucasOk,0,0,8,0,0
DelfinoLucasOk,0,0,8,0,1
DelfinoLucasOk,0,0,8,0,2
DelfinoLucasOk,0,0,8,0,3
DelfinoLucasOk,0,0,8,0,4
DelfinoLucasOk,0,0,8,0,5
DelfinoLucasOk,0,0,8,0,6
DelfinoLucasOk,0,0,8,0,7
DelfinoLucasOk,0,0,8,0,8
DelfinoLucasOk,0,0,8,0,9
DelfinoLucasOk,29,88,8,0,10
DelfinoLucasOk,36,59,8,0,11
DelfinoLucasOk,84,228,8,0,12
DelfinoLucasOk,32,66,8,0,13
DelfinoLucasOk,17,21,8,0,14
DelfinoLucasOk,66,185,8,0,15
DelfinoLucasOk,13,46,8,0,16
DelfinoLucasOk,14,36,8,0,17
DelfinoLucasOk,12,37,8,0,18
DelfinoLucasOk,17,53,8,0,19
DelfinoLucasOk,0,0,8,0,20
DelfinoLucasOk,0,0,8,0,21
DelfinoLucasOk,0,0,8,0,22
DelfinoLucasOk,0,0,8,0,23
DelfinoLucasOk,0,0,9,0,0
DelfinoLucasOk,0,0,9,0,1
DelfinoLucasOk,0,0,9,0,2
DelfinoLucasOk,0,0,9,0,3
DelfinoLucasOk,0,0,9,0,4
DelfinoLucasOk,9,31,9,0,5
DelfinoLucasOk,0,0,9,0,6
DelfinoLucasOk,34,76,9,0,7
DelfinoLucasOk,0,0,9,0,8
DelfinoLucasOk,11,32,9,0,9
DelfinoLucasOk,9,17,9,0,10
DelfinoLucasOk,26,48,9,0,11
DelfinoLucasOk,10,19,9,0,12
DelfinoLucasOk,14,49,9,0,13
DelfinoLucasOk,17,58,9,0,14
DelfinoLucasOk,20,64,9,0,15
DelfinoLucasOk,0,0,9,0,16
DelfinoLucasOk,17,25,9,0,17
DelfinoLucasOk,4,12,9,0,18
DelfinoLucasOk,17,57,9,0,19
DelfinoLucasOk,6,34,9,0,20
DelfinoLucasOk,0,0,9,0,21
DelfinoLucasOk,0,0,9,0,22
DelfinoLucasOk,0,0,9,0,23
DelfinoLucasOk,0,0,10,0,0
DelfinoLucasOk,0,0,10,0,1
DelfinoLucasOk,0,0,10,0,2
DelfinoLucasOk,0,0,10,0,3
DelfinoLucasOk,0,0,10,0,4
DelfinoLucasOk,0,0,10,0,5
DelfinoLucasOk,0,0,10,0,6
DelfinoLucasOk,30,109,10,0,7
DelfinoLucasOk,23,64,10,0,8
